Gene_acc,PG.ProteinAccessions,WT1,WT2,WT3,11-1,11-2,11-3,Desc
0,GFP.BLA,Filtered,Filtered,Filtered,38023.42578125,23545.29296875,22325.283203125,GFP.BLA
2,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,76605.171875,81391.8671875,90829.09375,60986.0703125,48804.94921875,97720.359375,"hypothetical protein, conserved"
3,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,33474.3828125,29259.98046875,36431.66015625,43252.8984375,35355.69921875,40863.67578125,"major vault protein, putative"
4,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,134007.265625,173971.4375,168930.59375,129447.421875,146551.765625,133668.3125,"hypothetical protein, conserved"
5,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,2565923.5,2853554.25,2688291.5,2925756.25,3310766.75,3030929.75,"paraflagellar rod component par4, putative"
6,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,263230.09375,325229,372967.4375,454718.15625,428703.90625,488067,"ras-like small GTPase, putative"
7,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,110366.796875,88281.9765625,42827.44921875,119431.28125,151739.671875,117086.1171875,Kinetochore interacting protein 1
10,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,144692.203125,217640.84375,248227.015625,75674.6484375,141894.90625,49122.67578125,"guanine deaminase, putative"
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,2449753.25,2481410,2532225,2338694,2245895.5,2248823.25,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,872098.125,938265,938546.875,761014.625,713945.25,730013.8125,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,2866112.75,4927556.5,3809586.75,2568825,3271395.5,2495107,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,1618847.375,1889295.25,1649478.375,1232074.625,1320537.5,1381355.25,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,1275009.125,1317672.25,1194218.875,882452.3125,827191.0625,838992,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,6409132,6104961,7110039,5921611.5,5122634,6224536,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,551446.8125,611053.125,600492.375,522202.3125,615378.125,554956.5625,"dynein light chain, putative"
19,Tb06.3A7.960:mRNA-p1,1240436.5,1448607.25,1359961.125,1170937.875,1000634.5625,995928.5,hypothetical protein
20,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,609436.25,607664.9375,559872.875,513302.6875,461827.15625,475746.1875,"zinc finger protein family member, putative"
21,Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1,130363.2734375,124238.3359375,132056.53125,118981.1328125,113400.515625,133682.140625,procyclic-enriched flagellar receptor adenylate cyclase 6
23,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,176023.046875,159166.890625,182339.28125,242522.4375,231637.109375,193536.015625,hypothetical protein
25,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,64207.3515625,28432.13671875,110724.890625,74150.140625,87006.3828125,77362.9375,"expression site-associated gene (ESAG) protein, putative"
26,Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1,38084.609375,42404.3984375,91900.125,Filtered,Filtered,Filtered,"small GTPase, putative"
29,Tb09.v4.0067:pseudogenic_transcript-p1,6930564.5,6058980.5,5726219.5,8079111,8257228.5,8411825,"retrotransposon hot spot protein, pseudogene"
32,Tb09.v4.0109:mRNA-p1,330762.5,323703.09375,262489.25,243475.484375,262958.125,278106.0625,hypothetical protein
