Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,-14.877040286380016,7.438520143190007,2.807998871304276e-06,GFP.BLA
2,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,0.2564050096020871,16.292963028846998,0.520447432673339,"hypothetical protein, conserved"
3,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,-0.33349303410905407,15.258478075272466,0.09680386217142277,"major vault protein, putative"
4,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,0.1476862394835443,17.2799543047592,0.3701500585492848,"hypothetical protein, conserved"
5,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.2563023840100165,21.577655183688545,0.03297767184955998,"paraflagellar rod component par4, putative"
6,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,-0.5891009594825896,18.65476047209599,0.028031384362823885,"ras-like small GTPase, putative"
7,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,-0.8461146377520805,16.69735887378712,0.16273118548628565,Kinetochore interacting protein 1
10,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,1.2324437686374736,17.06724365115051,0.09368204329586234,"guanine deaminase, putative"
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,0.06331282387348836,21.29960572631441,0.2934978129847185,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,0.0,0.0,1.0,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,0.25371794056814423,19.762712589462016,0.016841482837129895,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,0.3891287627010733,21.738497795001564,0.24760428350973443,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,0.32480873193863147,20.6323987201109,0.028571796881585267,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,0.5066184050801645,20.098074350373007,0.0035345807615470397,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.12234235393856707,22.66201308248902,0.4152044122683057,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.003296964154127835,19.24980362934504,0.992178099155714,"dynein light chain, putative"
19,Tb06.3A7.960:mRNA-p1,0.2914288264514262,20.300506933051725,0.07270519720644758,hypothetical protein
20,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,0.22879873929477768,19.145484166834372,0.05991524032764729,"zinc finger protein family member, putative"
